id,Row,Plot,ID2,PH,BTF,FTR,ND,FL
1,1,1,8759,99.4,68.35,-1.5,7.5,54
2,1,2,8760,71.95,49.75,1.8,5.5,61.4
3,1,3,8761,91.55,63.2,-1.95,9.5,70.4
4,1,6,8763,NA,NA,NA,NA,64.2
5,1,7,8764,108.95,85.9,7.8,7.5,62.8
6,1,8,8765,106.6,76.65,1.45,7.5,53.2
7,1,9,8766,70.95,49.9,-6.75,9.5,56.4
8,1,10,8767,80.9,65.1,-13.2,8.5,50.4
9,2,1,8768,84.5,63.1,-0.55,8,58.4
10,2,2,8769,87.2,72.55,-10.25,10.5,57.4
11,2,3,8770,71.15,44.9,-8.65,6.5,57
12,2,4,8771,63.7,51.75,-13.8,12.5,82
13,2,5,8772,107.95,94.1,-10.15,11.5,59
14,2,6,8773,101.75,75.35,2.9,7,51.6
15,2,7,8774,104.8,74.25,-9.9,9,65.4
16,2,8,8775,89.1,51.85,17.45,5.5,56.4
17,2,9,8776,97.65,80,-10.25,10,55.2
18,2,10,8777,112.15,69.7,10.35,8.5,56.2
19,3,1,8778,101.6,64.9,10.35,5.5,49
20,3,2,8779,NA,NA,NA,NA,64.6
21,3,3,8780,83.25,50.6,6.95,7,65.6
22,3,4,8781,82.15,42.7,12.4,6,62.2
23,3,5,8782,128.15,96.7,-0.25,9.5,61.2
24,3,6,8783,82.55,50.2,-3.25,7.5,67.6
25,3,7,8784,101.1,70.2,2.3,9,66
26,3,8,8785,77.4,52.8,-12.4,10,64.2
27,3,9,8786,110.05,89.25,-4.3,9.5,61.4
28,3,10,8787,77.65,49.8,3.65,8,64.4
29,4,1,8788,112.5,88.15,-6.5,8,55.2
30,4,2,8789,120.55,80.3,15.5,8,64.4
31,4,3,8790,83.2,53.45,3.7,6,54
32,4,4,8791,97.7,68.4,1.75,8.5,56.2
33,4,5,8792,78,68,-11.8,9,60.2
34,4,6,8793,70.4,53.15,-10.75,8.5,64.8
35,4,7,8794,90.55,55.75,-0.55,9,61
36,4,8,8795,91.2,72.85,-10.5,7.5,50.4
37,4,9,8796,44.95,34,-4.1,8.5,53.4
45,5,2,8798,67.5,42.7,6.15,9.5,68.8
46,5,3,8799,73.35,62.25,-2.3,10,67.6
47,5,4,8800,79.8,49.7,2.45,9.5,70.8
48,5,5,8801,125.4,87.35,11.15,8.5,57.8
49,5,6,8802,121.75,89.95,1.15,6.5,49.2
50,5,7,8803,112.8,93.95,-10.8,9,60.4
51,5,8,8804,83.95,61.1,-5.55,8.5,58.6
52,5,9,8805,84.7,52.7,0.6,9,56
53,5,10,8806,NA,NA,NA,NA,73
54,6,1,8807,104.05,75.2,-3.85,10.5,64.8
55,6,2,8808,98.8,84.2,-9.95,10,57
56,6,3,8809,106.85,71.75,12.2,6,49.2
57,6,5,8811,93.7,75.1,-6.75,8.5,51
58,6,6,8812,106.4,80.1,5.05,8.5,56.4
59,6,7,8813,101.5,57.55,15.45,8.5,57.8
60,6,8,8814,79.85,60.15,-3.3,9,56.8
61,6,9,8815,122.55,89.6,6.45,7.5,51.2
62,6,10,8816,137.95,111.8,-2.75,9.5,53
64,7,3,8818,133.4,103.05,0.05,8.5,57
65,7,4,8819,103.9,74.8,-8.85,8,54.4
66,7,5,8820,90.8,76.9,-9.1,12.5,69
67,7,6,8821,84.05,61.3,-6,7.5,53.8
68,7,7,8822,85.4,58.2,-5.6,11,57
69,7,8,8823,105.6,80.2,-7.7,8.5,63
70,7,9,8824,148.35,102.75,14.35,6.5,49.2
71,7,10,8825,113.7,93.75,-5.8,8.5,51.2
72,8,1,8826,77.75,58.45,-6.35,7.5,60.6
73,8,2,8827,98.45,69.25,-6.2,10,62.2
74,8,3,8828,86.5,48.1,19.6,7.5,55.8
75,8,4,8829,104.3,73.85,-6.6,10,54.4
76,8,5,8830,76.5,43.05,3.4,10.5,59.8
77,8,6,8831,84,60.6,-16.15,9,56
78,8,7,8832,114.1,88.55,6,9,57.8
79,8,8,8833,91.1,51.75,5.6,6,51.2
80,8,9,8834,103.2,76.9,-1.35,10,57.6
81,8,10,8835,108.6,90.15,-11.05,9,49.8
82,9,1,8836,80.9,53.2,-27.85,11,62.4
83,9,2,8837,120.8,92.05,-5.85,9,60.4
84,9,3,8838,126.65,100.3,3.25,10,63.2
85,9,4,8839,79.25,57.5,-2.8,6.5,48.4
86,9,5,8840,85.55,58.65,-4.25,9,61.8
87,9,6,8841,143.4,118.95,-2.1,9.5,54.6
89,9,9,8844,60.65,44.3,-9.25,9.5,58.8
90,9,10,8845,102.4,86,-3.9,9.5,55.4
91,10,1,8846,71.5,45.65,3.35,11,68
92,10,2,8847,120.35,102.05,-9.6,10.5,59.2
93,10,3,8848,132.3,106.4,-3.25,9.5,56
94,10,4,8849,68.65,45.85,-3.7,8,56
95,10,5,8850,81.6,64.4,-12.7,7.5,55.6
96,10,7,8851,83.35,58,2.55,8.5,56
97,10,8,8852,96.05,68,0.6,9,59.2
98,10,9,8853,116.45,67.5,18,7.5,56
99,10,10,8854,114.45,92,-8.55,8,54.2
100,11,1,8855,121.75,96.2,-8.9,10.5,55.2
101,11,2,8856,67.55,49.55,-15.75,11.5,57.4
102,11,3,8857,90.55,65.25,-7.15,8.5,57.4
103,11,4,8858,65.35,51.95,-10.55,9,55.4
104,11,5,8859,108.8,86.85,-5.55,8,56
105,11,6,8861,99.4,73.85,-13.85,9,53.6
106,11,7,8862,90.9,61.25,-5.15,7,59
107,11,8,8863,95.55,67.3,-2.95,8,51.8
108,11,9,8864,163.75,130.8,-4.1,11,63
109,11,10,8865,94.5,58.7,2.75,8.5,49.8
111,12,4,8868,101.3,59.35,6.2,6.5,52.6
112,12,5,8869,80.35,58.35,-8.45,10.5,66
113,12,6,8870,100.75,79.25,-12.8,9,60.8
114,12,7,8871,113.2,95.3,-14.4,9,56.4
115,12,8,8872,92.45,80.75,-12.55,9.5,63.4
116,12,9,8873,82.6,60.7,-13,10,61.2
117,12,10,8874,85.8,64.55,-4.5,9,59
118,13,1,8875,76.25,54.35,-12.05,10,61
119,13,2,8876,86.45,61.7,-4.7,10.5,61.4
120,13,3,8877,73.6,65.1,-12.75,11,59.6
121,13,4,8878,120.8,92.7,0.2,11.5,61.8
122,13,5,8879,85.7,52.25,-0.5,10,57.2
123,13,6,8880,131.65,109.1,-9.9,11.5,66.6
124,13,7,8881,95.65,68.55,-2.15,9,59.2
125,13,8,8882,160.25,138.25,-10.7,11,61
126,13,9,8883,92.3,62.55,-4.6,9.5,57.6
127,13,10,8884,73.6,51.8,-8.05,7,51.8
128,14,1,8885,82.15,64.65,-8.3,7.5,56.6
129,14,2,8886,82.65,64.2,-9.9,9.5,56.4
130,14,3,8887,80.5,63.5,-10.1,10.5,59
131,14,4,8888,109.05,70.45,6,9.5,58.6
132,14,5,8889,103.15,68.35,0.7,8,56
133,14,6,8890,80.65,56.2,-8.7,9.5,49.2
134,14,8,8892,98.4,66.1,-9.8,9,57
135,14,10,8893,83.25,61.55,-2.4,9,62.8
136,15,1,8894,118.75,101.9,-9.35,11.5,60.4
138,15,3,8896,87.45,60.4,-6.15,7.5,57.2
139,15,4,8897,97.05,60.25,2.35,7.5,59.8
140,15,5,8898,143.45,123.65,-5.9,10.5,57.2
141,15,6,8899,101.7,83.1,-7.85,9,59
142,15,7,8900,115.3,79.35,2.05,11.5,62.6
143,15,8,8901,96.95,67.6,0.85,11,55.2
144,15,9,8902,115.25,106.15,-13.75,11,52.2
145,15,10,8903,96.85,78.25,-5.7,9,52.8
146,16,1,8904,87.85,55.4,-1.1,9,55.8
147,16,2,8905,91.2,68.8,-1.6,9.5,65.6
148,16,4,8907,92.8,72.45,-6.8,10,56.4
149,16,5,8908,115.9,106.05,-2.05,10.5,57.6
150,16,6,8909,123.9,100.25,-0.45,9.5,52
151,16,7,8910,105.3,92.65,-14.85,8.5,56.8
152,16,8,8911,110.7,76.3,-2.95,8.5,54.8
153,16,9,8912,99.95,81.7,-4.25,10,57.4
154,16,10,8913,85.3,54.85,1.4,8,60.6
155,17,1,8914,86.45,75.65,-11.1,7.5,44.8
156,17,2,8915,126.8,108,-11.9,9.5,62.4
157,17,3,8916,98.05,65.6,-5.15,10,65.8
158,17,4,8917,102.3,88.8,-12.3,11.5,76
159,17,5,8918,131.65,100.9,-3.1,10,53.4
160,17,6,8919,123.65,97.8,-7.9,7.5,52.4
161,17,7,8920,146.75,124.9,-1.25,9.5,50.2
162,17,8,8921,73.85,55.9,-10.6,7.5,50.2
163,17,9,8922,81.7,54.85,-28.6,9,57.2
164,17,10,8923,79.85,60.15,3.05,8.5,64.6
165,18,1,8924,120.95,95.65,-3.45,9,56.4
166,18,2,8925,96.85,78.3,-10.85,8.5,59
167,18,3,8926,92.35,52.95,13.1,8.5,65
168,18,5,8928,119.8,104.9,-17.35,9.5,53.4
169,18,6,8929,103.45,71.95,-0.15,10.5,52.4
170,18,7,8930,83.65,68.3,5.05,8,50.8
171,18,8,8931,85.45,71.6,-20.35,9.5,50.2
172,18,9,8932,72.15,50,-7.25,10,57.2
173,18,10,8933,175.3,141.95,1.3,10.5,59.8
174,19,1,8934,76.45,48.2,2.45,6.5,49.4
175,19,2,8935,128.3,107.15,-8.1,10,60.8
176,19,3,8936,75.4,53.1,-2.9,7,51.4
177,19,4,8937,161.6,127.35,-0.35,8.5,69.4
178,19,5,8938,92.05,59.7,4.9,9,63.2
179,19,6,8939,69.7,46,6.5,7,50.6
180,19,7,8940,107,80.85,-10.9,10.5,62.2
181,19,8,8941,117.55,90.4,-0.6,9.5,58.2
182,19,9,8942,127.9,103.4,-10.05,10,53.8
183,19,10,8943,85.7,62.6,-13,8,50.8
184,20,1,8944,107.9,75.2,3.7,9,56.4
185,20,2,8945,121.2,95.05,-5.2,10,64.2
186,20,3,8946,106.25,65.95,0.6,8.5,57.6
187,20,4,8947,108.75,70.1,11.45,9.5,65.2
188,20,6,8948,106.3,87.1,-12.1,8.5,52.6
189,20,7,8949,145.25,120.1,-2.8,10,62.2
190,20,8,8950,81.05,69.05,-15.7,10,57.8
191,20,10,8951,111.9,90.5,-2.65,10.5,58.2
192,21,1,8952,80.65,41.2,17.4,8,61.6
193,21,2,8953,76.8,52.55,-5.6,8,55
194,21,3,8954,83,53.95,3.45,8,58
195,21,4,8955,111.05,76.65,-4.3,8,54
196,21,5,8956,92.85,71.4,-10.65,9.5,56
197,21,6,8957,121.25,103.4,-7.85,9,51.4
198,21,7,8958,120.25,97.15,-12.95,10,57.6
199,21,8,8959,127.7,103.35,-2.1,7.5,52.2
200,21,9,8960,104.4,82.5,-7.05,8.5,49.4
201,22,1,8961,78.85,50.2,5.15,8.5,57.2
202,22,3,8963,86.5,55.7,1.45,9,73
203,22,4,8964,95.6,59.45,6.75,8.5,61.2
204,22,5,8965,81.6,47.8,1.2,8.5,59.6
205,22,6,8966,86.2,63.9,-7,10,61
206,22,7,8967,76,57.35,-17.65,8.5,56
207,22,8,8968,119.45,100.95,-12.9,9,54.8
208,22,9,8969,77.1,55.45,-3.45,8,54.2
209,22,10,8970,NA,NA,NA,NA,55
210,23,1,8971,75.05,52.4,-9.1,9,55.6
211,23,2,8972,69.05,60.85,-19.25,8.5,59.2
212,23,3,8973,93.9,58.8,4.95,6.5,54.4
213,23,4,8974,90,81.6,-11.9,11,74.2
214,23,5,8975,96.6,67.85,0.5,8.5,61.8
215,23,6,8976,93.7,74.65,-6.55,7.5,56.8
216,23,7,8977,100.95,81.95,-16.55,8,52.6
217,23,8,8978,73.75,40,9.95,7,53.6
218,23,9,8979,128.6,97.5,0.25,9.5,56.4
220,24,1,8981,72.6,57.5,-7.65,11,60.6
221,24,2,8982,80.7,62.15,-6.95,8.5,55.6
222,24,3,8983,102.7,70.65,7.9,6.5,51.2
223,24,4,8984,112.05,71.05,7.65,7.5,50.6
224,24,5,8985,128,104.8,-5.6,10,74.2
225,24,6,8986,105.35,66.4,5.35,10,57.6
226,24,7,8987,89.4,54.3,4.65,8,54.4
227,24,8,8988,80.9,55.8,-6.2,7,48.4
228,24,10,8989,94.75,65.85,-3.85,11.5,60.4
229,25,1,8990,102.5,86.5,-9.15,8.5,60.6
230,25,2,8991,93.2,56.05,4.65,8.5,65.2
231,25,3,8992,76.7,63.3,-9.4,8.5,58.2
232,25,4,8993,94.25,85.2,-14.05,11,66.4
233,25,5,8994,132.6,107.2,-4.25,9,59.6
234,25,6,8995,139.85,126.9,-14.95,11.5,57
235,25,7,8996,127.6,83.25,-1.1,10,51.2
236,25,8,8997,103.15,57.7,14.8,8,50.8
237,25,9,8998,123.5,95.9,-4.85,10,55.2
238,25,10,8999,118.1,89.65,-1.6,11.5,61.8
239,26,1,9000,126.6,102.6,-4.05,10,60.4
240,26,2,9001,86.3,62.9,-9.75,9.5,53.6
241,26,3,9002,88.45,55,-8.3,8,56.4
242,26,4,9003,89.3,76.4,-12.55,8,51.2
243,26,5,9004,127.7,97.75,-6.8,10,54
244,26,6,9005,76.8,51.75,-3.35,10,67
245,26,7,9006,91.95,73.6,-7.65,9.5,58.2
246,26,8,9007,80.1,53.9,-8.15,7.5,56
247,26,9,9008,152.95,131.25,-10.9,13,71.2
248,26,10,9009,109.9,83.65,-6,9.5,58.2
249,27,1,9010,79.5,54.55,0.1,10,68
250,27,2,9011,83.05,47.15,9.55,8.5,59.4
251,27,4,9013,88.75,60.5,2.05,10.5,60.6
252,27,5,9014,110.3,87.6,-11.1,11,73.6
253,27,7,9015,115.05,81,4.25,9.5,56.4
254,27,8,9016,126.25,105.4,-6.3,7,47.8
255,27,9,9017,96.1,70.3,-0.75,9.5,55.4
256,27,10,9018,85.65,74.3,-14.95,9,50
257,28,1,9019,82.5,55.35,0,7.5,54.2
258,28,2,9020,89.65,71.6,-2.95,8.5,54.6
259,28,3,9021,87.3,75.55,-9.65,10.5,56.2
260,28,4,9022,110.75,91.7,-13.35,9,53.4
261,28,5,9023,121.7,92.65,2.25,9.5,62
262,28,6,9024,107.35,75.9,4.8,10,68.4
263,28,7,9025,133.5,105,-7.55,7.5,50.6
264,28,8,9026,122.95,100.2,-16.1,8,49.8
265,28,9,9027,81.45,50.3,-4.7,7.5,55.2
266,28,10,9028,97.6,78.35,-12.05,8,50.2
267,29,1,9029,81.05,61.3,5.05,7.5,55.4
268,29,2,9030,122.9,90.3,11.05,8,56
269,29,3,9031,135.25,105.25,-4.8,10,61
270,29,4,9032,119,76,8.45,7.5,50
271,29,5,9033,74.85,50.75,-7.25,7,52
272,29,6,9034,114.4,95,-5.85,11.5,61.4
273,29,7,9035,80.1,55.9,-10.4,11.5,65.6
274,29,8,9036,114.6,101.5,-9.05,11,61
275,29,9,9037,131.35,103.9,-9.25,8.5,50.6
276,29,10,9038,130.6,108.3,-14.4,10,54.4
277,30,1,9039,94.25,68.35,-3.7,10.5,56.4
278,30,2,9040,135.1,56.3,-1.4,10,58.6
279,30,4,9041,93.2,75.2,-10.55,10.5,63.8
280,30,5,9043,106.25,84.35,-13.6,11.5,69
282,30,7,9045,91.15,69.65,-6.7,7,61.6
283,30,8,9046,130.55,109.05,-2.95,12,62
284,30,9,9047,88.45,76.05,-12.25,9,53.2
285,30,10,9048,90.1,62.25,-4.5,8.5,51.2
286,31,1,9049,78.25,58,-10.25,10,63.4
287,31,2,9050,92.65,65.5,-4.95,10,73.8
288,31,3,9051,86.85,76.25,-10.7,10,61.6
289,31,4,9052,83.45,52.1,2.65,12,72.4
290,31,5,9053,71.55,58.7,-18.55,12.5,73.2
291,31,6,9054,69.55,53.6,-1.7,9.5,72
292,31,9,9056,89.05,59.35,1.95,9,54.8
293,31,10,9057,126.4,54.15,7.45,7.5,47.6
294,32,1,9058,104.75,78.05,7.8,9.5,57.4
295,32,2,9059,63.55,50.5,-12.65,11.5,66.2
296,32,3,9060,81.85,62.45,-0.3,13,83.6
297,32,4,9144,92.1,65.55,0.35,13,81.6
298,32,5,9145,80.55,58.9,-5.5,10.5,71
299,32,6,9146,140.35,117,-9.75,10,60.6
300,32,7,9147,66.1,51.9,-10.6,12,77
301,32,8,9148,115.95,97.7,-16.25,11.5,63.6
302,32,9,9149,63.25,52.55,-6.3,11,60.6
303,32,10,9150,80.5,47.1,-1,7,62.2
304,33,1,9151,61.1,40.2,-1.6,10,73
305,33,2,9152,68.8,47.25,-6.3,11.5,64.2
306,33,3,9153,74.8,40.1,9.6,8,57
307,33,4,9154,72.6,37.2,8.8,7.5,60
308,33,5,9155,90.15,64.95,3.1,7.5,69.6
309,33,6,9156,94.65,70.55,-1.8,12.5,81.2
310,33,8,9158,108.5,66.65,0.45,8.5,57
311,33,9,9159,70.7,57,-9.65,11,68.2
312,33,10,9160,137.9,110.7,-1.45,11,61.6
313,34,2,9163,93.7,69.15,-4.55,10.5,78.4
314,34,4,9165,73.85,55.95,-3.3,13,93.6
315,34,5,9166,80.65,54.6,-3.8,11,69.2
316,34,6,9167,124.2,96.4,-2.5,10.5,70
317,34,7,9168,77.95,59.1,-10.25,9,74.8
318,34,8,9169,96.15,75.1,-9.1,9.5,62.8
319,34,9,9170,145.05,118.1,2.15,14,95.8
320,34,10,9171,84.65,55.45,1.1,9,69.4
321,35,1,9172,81.3,53.9,9,7,66.6
322,35,2,9173,69.85,46.65,-8.35,9.5,61.6
323,35,3,9174,95.15,64,2.45,12,75.2
324,35,4,9175,93.8,80.1,-14.1,11.5,71.8
325,35,5,9176,86.9,62,-13.2,10.5,77.2
326,35,6,9177,77.85,55.45,-5,13.5,90.4
327,35,7,9178,113.4,64.45,11.7,9.5,59.4
328,35,8,9179,115.25,93.25,-3.3,8,58.6
329,35,9,9180,88.6,67.35,-3.55,8,53.8
330,35,10,9181,103.7,93.2,-11.25,7.5,53.2
331,36,1,9182,89.85,58.7,7.75,11.5,86.8
332,36,2,9183,62.95,48.5,-6.7,7,59.8
333,36,4,9184,90.7,72.05,-9.85,11,68.8
334,36,5,9185,79.35,54.5,-4.85,11,75.2
335,36,6,9186,76,48.4,-7.2,11,97.6
336,36,9,9188,109.1,75.4,2.75,12,66
337,36,10,9190,103.1,87.25,-10,9.5,64.8
338,37,1,9191,102,62.4,5.1,9.5,83.3
339,37,2,9192,85.1,57.75,8.45,10,85
340,37,3,9193,69.1,38.6,7.05,8.5,72.4
341,37,4,9194,85,57.25,2.65,12.5,76.6
342,37,6,9198,119.8,87.15,5.3,11.5,83.8
343,37,7,9195,NA,NA,NA,NA,80.8
344,37,8,9199,119.2,106.7,-9.75,10.5,62.2
345,37,9,9200,75.35,51.5,-5.5,10,63.8
346,37,10,9201,86.45,57.55,-4.25,9.5,65.2
347,38,1,9202,76.5,36.5,11.65,10,88.4
348,38,2,9203,87.9,66.95,-4.1,8.5,83.6
349,38,3,9204,99.3,53.7,9.8,9.5,74.4
350,38,4,9205,76.6,46.45,2.3,8.5,66.6
351,38,5,9206,74.15,43.25,10.05,6,60.8
352,38,6,9207,86.6,66.1,-4.3,10,78
353,38,7,9208,74.65,40.2,10.6,8,71.2
354,38,8,9209,79.1,59.5,-14.35,8,59.2
355,38,9,9210,112.85,96.35,-10.75,10,57
356,38,10,9211,127.9,89,11.4,10.5,71.6
357,39,1,9212,76.95,51.95,3.2,6.5,68.2
358,39,2,9214,94.75,61,3.9,14,99.2
359,39,3,9215,66.6,49.7,-10.8,7,64
360,39,4,9216,79.55,61.75,-0.85,8.5,65.6
361,39,5,9217,63.6,42.1,-4.1,9,76
362,39,6,9218,88.25,62.55,-15.75,9.5,58.8
363,39,8,9221,86.65,54.65,-1.6,11,74.6
364,39,9,9222,103.15,94.5,-14.35,10.5,66.4
365,39,10,9223,76.8,51.75,-1.6,9,67.2
366,40,1,9224,83.45,55.3,-1.4,9.5,87.2
367,40,3,9226,108.25,79.1,5.4,8,60.2
368,40,4,9227,82.5,43.7,1.3,10.5,81.5
369,40,5,9228,128.35,103.75,-5.95,11,72.2
370,40,6,9229,114.95,69.25,1.95,8.5,67.5
371,40,7,9230,115.3,91.75,-4.25,10.5,72
372,40,8,9231,107.05,65.55,13.8,9,71.6
373,40,9,9233,77,47.6,-3.65,7.5,59
374,40,10,9234,68.65,40.25,3.55,9,57.2
375,41,1,9236,69.1,48.55,-7.1,12,93.5
376,41,2,9237,87.5,67.1,-4.3,9,76
377,41,3,9238,89.4,52.5,9.6,7,58.2
378,41,4,9239,79.75,67.75,-15.3,8.5,68.6
379,41,6,9240,101.85,85.55,-8.8,8.5,62
380,41,7,9242,121.95,90.6,1.15,9.5,62.8
381,41,8,9243,98.45,74.5,3.2,7.5,62.8
382,41,10,9244,69.3,43.75,-0.55,8,63.6
383,42,1,9245,64,46.15,-10.25,12,84.3
384,42,2,9246,83.4,41.9,9.9,7.5,77.5
385,42,3,9247,76.95,35.6,6.4,7,77.2
386,42,4,9248,100,70.55,1.85,12,75.8
387,42,5,9249,90.15,65.5,-4.1,9.5,65.2
388,42,6,9250,96.45,55.5,3.7,8.5,74
389,42,7,9251,83.05,50.1,7.35,8.5,79.8
390,42,8,9252,110.3,86.8,-1,9.5,68.6
391,42,9,9253,95.45,60.4,-0.35,11,74.6
392,42,10,9254,106.15,82.1,-1.45,10.5,62.8
393,43,2,9256,80,49.3,2.65,9,71.8
394,43,3,9257,138.95,110.1,9.8,10,69
395,43,4,9258,74.1,40.55,-0.3,8.5,70.6
396,43,5,9260,101.35,69.35,5.65,8,67.6
397,43,6,9261,129.25,99.9,-5.5,9,60.6
398,43,7,9262,132.15,107.65,-12.65,13.5,74.8
399,43,8,9264,74.95,71.5,-20.85,15.5,83.2
400,43,9,9265,116.55,64.25,22.1,7.5,61.8
401,43,10,9266,88.15,65.4,-8.35,10,70.2
402,44,1,9267,70.9,50.4,4.7,6,76.3
403,44,2,9268,82.35,57.95,-3.2,9.5,64.8
404,44,3,9269,95.25,62.75,7.55,9.5,77.6
405,44,4,9270,104.5,65,5.1,12,79
406,44,5,9271,66.5,45.7,-5.6,10,90